,Category,Count,Population2000,popChangein2020,UrbanPopulation2000,urbanPopChange,UrbanPopulation_20YearLag2020
0,East Asia & Pacific,22,2076547936,340677892,1204965470,263515111,189892610
1,Europe & Central Asia,15,292937399,36764341,182026946,36609111,22310338
2,Latin America & Caribbean,23,522150328,130713638,361466525,106024047,36156049
3,Middle East & North Africa,13,333969933,148603837,238212507,132781833,43681821
4,South Asia,8,1526873132,520074536,861457745,308596039,187835084
5,Sub-Saharan Africa,43,666836245,475893818,353958420,272558358,134222694
6,Low income,26,403247245,294796397,218570533,155430701,82220211
7,Lower middle income,46,2243899947,869413657,1280507499,550660853,297628259
8,Upper middle income,51,2747412671,484415500,1683186337,410456660,232679252
