bin1980,bin2020,pop2020_sum,pixel_count
0.0,0.0,0.0,17670921.0
0.0,2000.0,49063908.0,366911.0
0.0,4000.0,2455938.0,896.0
0.0,6000.0,1149356.0,238.0
0.0,8000.0,681713.0,100.0
0.0,10000.0,430656.0,49.0
0.0,12000.0,434590.0,41.0
0.0,14000.0,373399.0,29.0
0.0,16000.0,148345.0,10.0
0.0,18000.0,118491.0,7.0
0.0,20000.0,112748.0,6.0
0.0,22000.0,125914.0,6.0
0.0,24000.0,89361.0,4.0
0.0,26000.0,176004.0,7.0
0.0,28000.0,79448.0,3.0
0.0,30000.0,59081.0,2.0
0.0,32000.0,576718.0,13.0
2000.0,0.0,0.0,77.0
2000.0,2000.0,502373936.0,6209524.0
2000.0,4000.0,103762138.0,37729.0
2000.0,6000.0,54344131.0,11301.0
2000.0,8000.0,33091739.0,4840.0
2000.0,10000.0,22391161.0,2536.0
2000.0,12000.0,14706719.0,1359.0
2000.0,14000.0,9771135.0,758.0
2000.0,16000.0,7028615.0,476.0
2000.0,18000.0,5550071.0,328.0
2000.0,20000.0,3754871.0,199.0
2000.0,22000.0,2651445.0,130.0
2000.0,24000.0,1855701.0,81.0
2000.0,26000.0,1630873.0,67.0
2000.0,28000.0,1346815.0,51.0
2000.0,30000.0,1008389.0,35.0
2000.0,32000.0,8054661.0,199.0
4000.0,2000.0,1489488.0,1176.0
4000.0,4000.0,12644053.0,4085.0
4000.0,6000.0,23507295.0,4809.0
4000.0,8000.0,20050513.0,2928.0
4000.0,10000.0,16688412.0,1894.0
4000.0,12000.0,12772505.0,1186.0
4000.0,14000.0,7601008.0,592.0
4000.0,16000.0,4990931.0,334.0
4000.0,18000.0,3600001.0,212.0
4000.0,20000.0,3524890.0,189.0
4000.0,22000.0,2487514.0,121.0
4000.0,24000.0,1940538.0,86.0
4000.0,26000.0,1060140.0,43.0
4000.0,28000.0,1000378.0,37.0
4000.0,30000.0,1068993.0,37.0
4000.0,32000.0,3291690.0,88.0
6000.0,2000.0,135282.0,123.0
6000.0,4000.0,1421914.0,450.0
6000.0,6000.0,5301819.0,1052.0
6000.0,8000.0,9523897.0,1369.0
6000.0,10000.0,9328887.0,1053.0
6000.0,12000.0,8626339.0,792.0
6000.0,14000.0,6632119.0,514.0
6000.0,16000.0,5378479.0,362.0
6000.0,18000.0,4009374.0,237.0
6000.0,20000.0,3267773.0,175.0
6000.0,22000.0,2211730.0,106.0
6000.0,24000.0,1824008.0,80.0
6000.0,26000.0,1605980.0,64.0
6000.0,28000.0,1462767.0,54.0
6000.0,30000.0,1509807.0,52.0
6000.0,32000.0,4142175.0,111.0
8000.0,2000.0,25457.0,37.0
8000.0,4000.0,258043.0,82.0
8000.0,6000.0,1136204.0,221.0
8000.0,8000.0,2554204.0,364.0
8000.0,10000.0,4711180.0,526.0
8000.0,12000.0,4727656.0,433.0
8000.0,14000.0,4609234.0,361.0
8000.0,16000.0,3709740.0,251.0
8000.0,18000.0,2936296.0,175.0
8000.0,20000.0,2585117.0,137.0
8000.0,22000.0,2629937.0,127.0
8000.0,24000.0,2113548.0,92.0
8000.0,26000.0,1969165.0,79.0
8000.0,28000.0,1048679.0,39.0
8000.0,30000.0,724011.0,25.0
8000.0,32000.0,6482243.0,161.0
10000.0,2000.0,9679.0,15.0
10000.0,4000.0,91749.0,29.0
10000.0,6000.0,301257.0,60.0
10000.0,8000.0,895777.0,127.0
10000.0,10000.0,1670374.0,186.0
10000.0,12000.0,2428650.0,223.0
10000.0,14000.0,2922761.0,226.0
10000.0,16000.0,2572813.0,176.0
10000.0,18000.0,2297121.0,135.0
10000.0,20000.0,1571345.0,83.0
10000.0,22000.0,1589796.0,76.0
10000.0,24000.0,1306899.0,57.0
10000.0,26000.0,1227411.0,49.0
10000.0,28000.0,1067129.0,40.0
10000.0,30000.0,1180182.0,41.0
10000.0,32000.0,5359619.0,131.0
12000.0,2000.0,10774.0,11.0
12000.0,4000.0,40316.0,12.0
12000.0,6000.0,115002.0,22.0
12000.0,8000.0,325470.0,46.0
12000.0,10000.0,786163.0,87.0
12000.0,12000.0,1096987.0,99.0
12000.0,14000.0,1521660.0,117.0
12000.0,16000.0,1654626.0,111.0
12000.0,18000.0,1557408.0,92.0
12000.0,20000.0,1378829.0,74.0
12000.0,22000.0,1031838.0,51.0
12000.0,24000.0,758135.0,34.0
12000.0,26000.0,764628.0,31.0
12000.0,28000.0,598570.0,22.0
12000.0,30000.0,815581.0,28.0
12000.0,32000.0,6679513.0,151.0
14000.0,2000.0,3574.0,11.0
14000.0,4000.0,11763.0,4.0
14000.0,6000.0,66731.0,13.0
14000.0,8000.0,157634.0,24.0
14000.0,10000.0,320712.0,35.0
14000.0,12000.0,530327.0,48.0
14000.0,14000.0,634954.0,50.0
14000.0,16000.0,1010465.0,69.0
14000.0,18000.0,827833.0,49.0
14000.0,20000.0,832103.0,44.0
14000.0,22000.0,1003738.0,48.0
14000.0,24000.0,505366.0,22.0
14000.0,26000.0,642682.0,26.0
14000.0,28000.0,478989.0,18.0
14000.0,30000.0,292450.0,10.0
14000.0,32000.0,4643478.0,108.0
16000.0,2000.0,1409.0,9.0
16000.0,4000.0,16745.0,5.0
16000.0,6000.0,64247.0,12.0
16000.0,8000.0,145342.0,21.0
16000.0,10000.0,235675.0,26.0
16000.0,12000.0,407480.0,37.0
16000.0,14000.0,418360.0,32.0
16000.0,16000.0,502049.0,33.0
16000.0,18000.0,593728.0,35.0
16000.0,20000.0,398606.0,21.0
16000.0,22000.0,528572.0,25.0
16000.0,24000.0,436160.0,19.0
16000.0,26000.0,396934.0,17.0
16000.0,28000.0,278917.0,11.0
16000.0,30000.0,115721.0,4.0
16000.0,32000.0,3520283.0,74.0
18000.0,2000.0,175.0,1.0
18000.0,6000.0,5278.0,1.0
18000.0,8000.0,42311.0,6.0
18000.0,10000.0,92214.0,10.0
18000.0,12000.0,230140.0,21.0
18000.0,14000.0,238000.0,18.0
18000.0,16000.0,227619.0,15.0
18000.0,18000.0,569611.0,34.0
18000.0,20000.0,362534.0,19.0
18000.0,22000.0,378669.0,18.0
18000.0,24000.0,345782.0,15.0
18000.0,26000.0,351293.0,14.0
18000.0,28000.0,322836.0,12.0
18000.0,30000.0,202974.0,7.0
18000.0,32000.0,3302940.0,64.0
20000.0,2000.0,273.0,2.0
20000.0,4000.0,4780.0,2.0
20000.0,6000.0,25502.0,5.0
20000.0,8000.0,31789.0,5.0
20000.0,10000.0,55446.0,6.0
20000.0,12000.0,144228.0,13.0
20000.0,14000.0,105184.0,8.0
20000.0,16000.0,105579.0,7.0
20000.0,18000.0,206205.0,12.0
20000.0,20000.0,303086.0,16.0
20000.0,22000.0,139249.0,7.0
20000.0,24000.0,278234.0,12.0
20000.0,26000.0,200501.0,8.0
20000.0,28000.0,267944.0,10.0
20000.0,30000.0,319901.0,11.0
20000.0,32000.0,2747995.0,48.0
22000.0,2000.0,393.0,2.0
22000.0,6000.0,4994.0,1.0
22000.0,8000.0,36434.0,5.0
22000.0,10000.0,60611.0,7.0
22000.0,12000.0,90663.0,8.0
22000.0,14000.0,78057.0,6.0
22000.0,16000.0,103109.0,7.0
22000.0,18000.0,101395.0,6.0
22000.0,20000.0,171363.0,9.0
22000.0,22000.0,83922.0,4.0
22000.0,24000.0,251018.0,11.0
22000.0,26000.0,99084.0,4.0
22000.0,28000.0,189869.0,7.0
22000.0,30000.0,235620.0,8.0
22000.0,32000.0,1171285.0,24.0
24000.0,8000.0,18364.0,3.0
24000.0,10000.0,34149.0,4.0
24000.0,12000.0,57941.0,5.0
24000.0,14000.0,27230.0,2.0
24000.0,16000.0,89782.0,6.0
24000.0,18000.0,66825.0,4.0
24000.0,20000.0,116056.0,6.0
24000.0,22000.0,188755.0,9.0
24000.0,24000.0,254891.0,11.0
24000.0,26000.0,174175.0,7.0
24000.0,28000.0,54632.0,2.0
24000.0,30000.0,86853.0,3.0
24000.0,32000.0,1683037.0,34.0
26000.0,8000.0,7396.0,1.0
26000.0,10000.0,26381.0,3.0
26000.0,12000.0,33173.0,3.0
26000.0,14000.0,26207.0,2.0
26000.0,16000.0,88546.0,6.0
26000.0,18000.0,17268.0,1.0
26000.0,22000.0,60476.0,3.0
26000.0,24000.0,207103.0,9.0
26000.0,26000.0,75185.0,3.0
26000.0,28000.0,53484.0,2.0
26000.0,30000.0,145951.0,5.0
26000.0,32000.0,783279.0,16.0
28000.0,8000.0,7507.0,2.0
28000.0,10000.0,17372.0,2.0
28000.0,16000.0,59572.0,4.0
28000.0,18000.0,17945.0,1.0
28000.0,20000.0,57389.0,3.0
28000.0,22000.0,21111.0,1.0
28000.0,24000.0,46967.0,2.0
28000.0,26000.0,125426.0,5.0
28000.0,28000.0,53993.0,2.0
28000.0,30000.0,28998.0,1.0
28000.0,32000.0,791307.0,17.0
30000.0,6000.0,4505.0,1.0
30000.0,8000.0,7579.0,1.0
30000.0,12000.0,10318.0,1.0
30000.0,14000.0,25795.0,2.0
30000.0,16000.0,45239.0,3.0
30000.0,18000.0,17999.0,1.0
30000.0,20000.0,75046.0,4.0
30000.0,22000.0,21595.0,1.0
30000.0,24000.0,46263.0,2.0
30000.0,26000.0,49875.0,2.0
30000.0,30000.0,88596.0,3.0
30000.0,32000.0,663459.0,12.0
32000.0,8000.0,13550.0,2.0
32000.0,10000.0,36340.0,4.0
32000.0,12000.0,153240.0,14.0
32000.0,14000.0,117168.0,9.0
32000.0,16000.0,73810.0,5.0
32000.0,18000.0,121223.0,7.0
32000.0,20000.0,95760.0,5.0
32000.0,22000.0,104692.0,5.0
32000.0,24000.0,158790.0,7.0
32000.0,26000.0,226151.0,9.0
32000.0,28000.0,135293.0,5.0
32000.0,30000.0,293194.0,10.0
32000.0,32000.0,4142967.0,78.0
