,Category,Count,Population2010,popChangein2010_2030,c3UrbanPopChange_2010_2030,c2UrbanPopChange_2010_2030,c1UrbanPopChange_2010_2030
0,East Asia & Pacific,22,2252829239,609314802,408969431,66185089,4646610
1,Europe & Central Asia,15,306373823,63316081,45610744,3928652,96191
2,Latin America & Caribbean,23,591319967,135477845,89569954,10423210,86366
3,Middle East & North Africa,13,403040156,164154118,133451763,12151264,33360
4,South Asia,8,1804311944,702424416,436767432,155564157,1080365
5,Sub-Saharan Africa,43,873333400,692255363,342625736,127154519,453261
6,Low income,26,537037000,438991683,206540373,97861603,329410
7,Lower middle income,46,2677163881,1166469562,721019786,212884524,1644997
8,Upper middle income,51,2987911301,757196755,526056529,64489190,4421461
